,clust,recency,frequency,monetary
0,1,5.0,177.5,38069.5
1,0,6.0,37.0,6397.0
2,0,5.0,58.0,12395.0
3,1,5.0,177.5,38069.5
4,2,10.0,16.0,4893.0
5,2,12.5,11.0,2864.0
6,0,5.0,41.0,6807.0
7,0,6.0,9.0,1817.0
8,0,6.0,34.0,6453.0
9,1,5.0,111.0,19704.0
10,0,6.0,19.0,1156.0
11,0,8.0,53.0,6758.0
12,1,5.0,92.0,22407.0
13,1,5.0,177.5,38069.5
14,0,6.0,74.0,17350.0
15,0,6.0,17.0,2805.0
16,0,6.0,16.0,1724.0
17,1,5.0,177.5,38069.5
18,2,12.5,2.0,125.0
19,2,12.5,8.0,2113.0
20,1,5.0,104.0,23317.0
21,1,5.0,177.5,38069.5
22,2,12.5,2.0,198.0
23,0,7.0,9.0,860.0
24,1,5.0,177.5,38069.5
25,0,5.0,12.0,1999.0
26,0,5.0,32.0,4591.0
27,1,5.0,177.5,38069.5
28,2,9.0,15.0,4533.0
29,0,8.0,46.0,10659.0
30,0,5.0,44.0,9395.0
31,1,5.0,177.5,38069.5
32,0,5.0,55.0,12366.0
33,2,10.0,9.0,2727.0
34,0,5.0,60.0,14007.0
35,1,6.0,164.0,33623.0
36,0,7.0,36.0,7057.0
37,0,6.0,26.0,5805.0
38,0,5.0,25.0,2991.0
39,0,8.0,20.0,2546.0
40,1,5.0,74.0,26131.0
41,0,6.0,6.0,1369.0
42,0,5.0,5.0,315.0
43,0,5.0,49.0,8143.0
44,1,5.0,177.5,38069.5
45,2,12.5,2.0,616.0
46,0,5.0,49.0,6516.0
47,1,5.0,94.0,22909.0
48,0,6.0,32.0,5509.0
49,0,5.0,37.0,8098.0
50,0,6.0,16.0,3734.0
51,2,10.0,5.0,607.0
52,0,7.0,20.0,8467.0
53,2,12.5,2.0,337.0
54,0,6.0,55.0,10885.0
55,2,12.5,6.0,1530.0
56,2,10.0,7.0,1759.0
57,2,12.5,6.0,1268.0
58,1,5.0,177.5,38069.5
59,0,6.0,26.0,3702.0
60,0,7.0,9.0,1541.0
61,2,11.0,8.0,1033.0
62,0,8.0,7.0,2041.0
63,0,5.0,48.0,4865.0
64,2,12.0,1.0,370.0
65,0,5.0,8.0,2227.0
66,2,12.5,1.0,191.0
67,0,5.0,40.0,9096.0
68,0,6.0,61.0,8311.0
69,0,8.0,39.0,13688.0
70,2,12.5,1.0,126.0
71,0,7.0,23.0,2956.0
72,0,6.0,13.0,3178.0
73,0,5.0,38.0,3873.0
74,2,12.5,2.0,276.0
75,0,7.0,33.0,4918.0
76,0,6.0,29.0,4780.0
77,1,5.0,135.0,33258.0
78,2,10.0,12.0,1100.0
79,0,7.0,5.0,753.0
80,0,5.0,35.0,6566.0
81,2,12.5,2.0,445.0
82,0,6.0,20.0,3051.0
83,2,11.0,9.0,1078.0
84,0,7.0,9.0,1554.0
85,1,6.0,102.0,23618.0
86,2,11.0,2.0,394.0
87,0,5.0,40.0,9739.0
88,2,12.5,6.0,2130.0
89,0,5.0,77.0,16647.0
90,2,12.5,6.0,1541.0
91,0,8.0,21.0,5634.0
92,0,8.0,17.0,1838.0
93,0,5.0,93.0,15977.0
94,0,5.0,27.0,4754.0
95,0,5.0,33.0,9011.0
96,0,1.0,3.0,659.0
97,0,6.0,10.0,1479.0
98,0,7.0,4.0,774.0
99,0,5.0,78.0,11780.0
100,1,5.0,177.5,38069.5
101,0,5.0,60.0,10484.0
102,2,12.5,5.0,762.0
103,0,6.0,33.0,6219.0
104,0,7.0,35.0,5009.0
105,0,6.0,30.0,6632.0
106,0,5.0,21.0,1727.0
107,0,8.0,18.0,2051.0
108,2,10.0,6.0,762.0
109,0,6.0,27.0,2511.0
110,1,5.0,177.5,38069.5
111,2,12.5,1.0,42.0
112,2,12.5,4.0,880.0
113,0,7.0,12.0,2014.0
114,0,5.0,8.0,2366.0
115,1,5.0,129.0,28010.0
116,0,5.0,19.0,4039.0
117,2,10.0,12.0,1946.0
118,0,7.0,16.0,1222.0
119,2,10.0,17.0,4808.0
120,0,6.0,24.0,2494.0
121,0,5.0,43.0,7652.0
122,2,12.5,8.0,660.0
123,2,12.5,10.0,1535.0
124,2,9.0,8.0,1124.0
125,0,5.0,33.0,4070.0
126,2,12.5,1.0,92.0
127,2,10.0,12.0,1398.0
128,0,6.0,6.0,1814.0
129,2,9.0,1.0,214.0
130,0,7.0,11.0,3038.0
131,0,8.0,10.0,2352.0
132,0,6.0,9.0,593.0
133,0,8.0,3.0,401.0
134,0,8.0,13.0,1800.0
135,0,8.0,20.0,2911.0
136,2,12.5,4.0,603.0
137,2,12.5,3.0,332.0
138,1,5.0,144.0,29412.0
139,1,5.0,177.5,38069.5
140,1,5.0,153.0,30027.0
141,0,6.0,95.0,19106.0
142,2,12.5,6.0,472.0
143,2,12.5,7.0,1945.0
144,1,5.0,169.0,38069.5
145,0,5.0,56.0,7555.0
146,0,6.0,77.0,11380.0
147,1,5.0,177.5,38069.5
148,1,5.0,177.5,38069.5
149,1,5.0,177.5,38069.5
150,1,5.0,177.5,38069.5
151,0,5.0,13.0,1844.0
152,0,7.0,6.0,1203.0
153,2,12.5,14.0,3829.0
154,0,6.0,21.0,3829.0
155,0,7.0,59.0,12109.0
156,1,5.0,177.5,38069.5
157,1,5.0,177.5,38069.5
158,1,5.0,136.0,37174.0
159,0,8.0,29.0,10061.0
160,0,5.0,43.0,8142.0
161,0,5.0,30.0,5058.0
162,0,6.0,17.0,1679.0
163,1,5.0,97.0,23014.0
164,1,5.0,88.0,22011.0
165,0,7.0,25.0,4247.0
166,0,5.0,60.0,13402.0
167,1,5.0,177.5,38069.5
168,2,9.0,15.0,2770.0
169,0,5.0,39.0,5462.0
170,1,5.0,177.5,38069.5
171,0,7.0,90.0,17180.0
172,2,9.0,3.0,185.0
173,0,6.0,91.0,17801.0
174,0,6.0,18.0,3104.0
175,0,5.0,57.0,23028.0
176,0,6.0,37.0,5557.0
177,2,12.0,10.0,1862.0
178,0,5.0,52.0,13157.0
179,0,7.0,23.0,4001.0
180,0,5.0,18.0,3970.0
181,0,3.0,2.0,281.0
182,0,5.0,61.0,14981.0
183,0,5.0,107.0,15046.0
184,0,7.0,25.0,3744.0
185,0,7.0,18.0,4795.0
186,0,6.0,41.0,4959.0
187,0,5.0,53.0,7686.0
188,0,5.0,33.0,4726.0
189,0,5.0,49.0,12683.0
190,0,6.0,28.0,1220.0
191,1,5.0,177.5,36000.0
192,0,7.0,26.0,5260.0
193,1,5.0,177.5,38069.5
194,1,5.0,177.5,38069.5
195,0,5.0,50.0,12785.0
196,1,5.0,177.5,38069.5
197,0,5.0,20.0,4186.0
198,0,5.0,56.0,11552.0
199,2,9.0,17.0,2542.0
200,1,5.0,111.0,25202.0
201,1,6.0,113.0,21237.0
202,0,5.0,38.0,6369.0
203,0,5.0,27.0,3639.0
204,0,8.0,9.0,2737.0
205,1,5.0,177.5,38069.5
206,1,5.0,177.5,38069.5
207,1,5.0,149.0,30645.0
208,0,7.0,6.0,1060.0
209,1,5.0,158.0,30648.0
210,1,5.0,177.5,38069.5
211,2,12.5,11.0,2495.0
212,0,7.0,37.0,8917.0
213,1,7.0,95.0,26069.0
214,2,9.0,6.0,823.0
